Artist and Title,Streams,Daily
KAJ - Bara Bada Bastu,122766895,86651.0
DJ Biel Divulga - Tipo Nino Vs Kabrinha,122570482,118638.0
bbno$ - check,122438279,118962.0
BABYMETAL - RATATATA,122111581,111820.0
LBI利比 - Jumping Machine (跳楼机),121933907,148124.0
Mariah the Scientist - Burning Blue,121670779,203912.0
"Tyler, The Creator - Ring Ring Ring",121504712,261169.0
Noizy - Follow You,121489722,111398.0
Alex Warren - On My Mind,120901795,180438.0
Wolfgang Amadeus Mozart - Sequence: VI. Lacrimosa dies illa,120784511,68114.0
8Uno - Pelotero A La Bola,120437485,191740.0
Juan Luis Guerra 4.40 - Vale la Pena,120269412,69960.0
R2 - RUINART,120148830,359306.0
Mumuzinho - Eu Mereço Ser Feliz,119911492,69399.0
"Léo Santana - Desliza (""Ólhinho"" No Corpinho)",119433623,276831.0
Sir Mix-A-Lot - Nasty Dog,119265295,111697.0
Bresh - Guasto D'Amore,119180287,44751.0
Harris Jayaraj - Ava Enna,119066080,94364.0
HONNE - no song without you,119025115,22766.0
Kenny Die - Ultra Complicado,119009485,141404.0
Victor Mendivil - Orula,118951901,373282.0
LOS DOS DE TAMAULIPAS - Arriba la Compañía,118733533,319482.0
Cameron Whitcomb - Quitter,118517571,122442.0
Lola Indigo - 1000COSAS,117801876,32206.0
Norm Ender - Bir Çift Göz,117749099,260544.0
Ian Cordova - Te Amo y Me Amas,117457569,472643.0
Xavi - No Capea,117347116,339482.0
Central Cee - CRG,117305007,150349.0
Danny Ocean - Vitamina,117137694,133045.0
Banda El Recodo - Seis Pies Abajo,117056770,156143.0
Fuerza Regida - CHAKA,117050254,259190.0
The Living Tombstone - Die In a Fire,117032131,68681.0
Rombongan Bodonk Koplo - Calon Mantu Idaman,116962265,158953.0
Kevin Murphy - Dead Girl Walking,116931683,79553.0
Marta Sánchez - Desesperada,116841129,43359.0
Tate McRae - bloodonmyhands,116668220,112460.0
Héctor Lavoe - Periódico de Ayer,116426923,87263.0
Thomas Rhett - After All The Bars Are Closed,116274323,207115.0
TRIANGLE DES BERMUDES - Charger,116132313,213015.0
